wav_file,wav_path,start_time,end_time,duration_s,has_metar,n_adsb_pings,n_aircraft,aircraft_in_window
41.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\41.wav,2020-10-22 21:04:45.001188,2020-10-22 21:19:45.675161,900.673973,False,6913,22,"['CAP3733', 'FDY301', 'N1078U', 'N216JQ', 'N2485D', 'N24TS', 'N2669X', 'N4740F', 'N474LF', 'N53226', 'N5687P', 'N600HJ', 'N62104', 'N6421J', 'N656CP', 'N8275D', 'N856ST', 'N860JJ', 'N8991J', 'N915ME', 'N923NK', 'RPA5798']"
42.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\42.wav,2020-10-22 21:19:52.288095,2020-10-22 21:34:52.630064,900.341969,False,4554,16,"['CAP3733', 'EJA145', 'N13337', 'N145QS', 'N24TS', 'N420QS', 'N4740F', 'N474LF', 'N536ME', 'N5687P', 'N62104', 'N688G', 'N797CS', 'N8991J', 'N923NK', 'NKS334']"
43.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\43.wav,2020-10-22 21:34:59.376727,2020-10-22 21:49:59.755864,900.379137,False,4649,18,"['CAP3733', 'EDV4852', 'EJA145', 'JBU1686', 'N13337', 'N1452U', 'N20274', 'N2669X', 'N339JB', 'N41548', 'N420QS', 'N520ME', 'N53226', 'N5687P', 'N5968W', 'N6359J', 'N819CM', 'N8991J']"
44.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\44.wav,2020-10-22 21:50:06.566266,2020-10-22 22:05:07.563458,900.997192,False,4914,13,"['N1452U', 'N20274', 'N2669X', 'N41548', 'N474LF', 'N53226', 'N6359J', 'N6421J', 'N819CM', 'N824DM', 'N92141', 'PITT60', 'RVJ824']"
45.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\45.wav,2020-10-22 22:05:14.203432,2020-10-22 22:20:14.231955,900.028523,False,3834,17,"['N1078U', 'N1452U', 'N203JQ', 'N4130S', 'N41548', 'N474LF', 'N567ND', 'N620UX', 'N6359J', 'N6421J', 'N688G', 'N819CM', 'N92141', 'N995WW', 'PITT60', 'RPA5597', 'SKW5786']"
46.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\46.wav,2020-10-22 22:20:21.076256,2020-10-22 22:25:33.733282,312.657026,False,1244,9,"['N1078U', 'N2669X', 'N41548', 'N4740F', 'N6421J', 'N676LF', 'N819CM', 'N92141', 'N995WW']"
47.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\47.wav,2020-10-22 22:26:52.725180,2020-10-22 22:33:48.345322,415.620142,False,1479,6,"['N2669X', 'N4740F', 'N6421J', 'N676LF', 'N819CM', 'N92141']"
48.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\48.wav,2020-10-22 22:39:54.771049,2020-10-22 22:54:54.834543,900.063494,False,4312,13,"['AAL2856', 'N1078U', 'N2669X', 'N479ST', 'N53226', 'N6421J', 'N811ME', 'N92141', 'N923NK', 'N995WW', 'NKS333', 'PITT60', 'UAL476']"
49.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\49.wav,2020-10-22 22:55:01.536305,2020-10-22 22:56:37.681260,96.144955,False,157,2,"['N1078U', 'N811ME']"
51.wav,C:\xcas-ga-comms-assistant\tartan_data\kbtp\2020\10\10-22-20_audio\51.wav,2020-10-22 23:19:14.785862,2020-10-22 23:30:21.969268,667.183406,False,1675,7,"['DPJ617', 'FDY336', 'MLN717', 'N246PK', 'N617MW', 'N62104', 'N717DX']"
